# multipoles
# s[mm] polynom_b[n=1][T/m^n] polynom_b[n=3][T/m^n] polynom_b[n=5][T/m^n] 
+0.0000000000000000e+00 +2.4348422545645192e-03 -2.6565073546593934e+00 -7.3434657081833238e+03 
+1.0000000000000001e-01 +2.4348494969717348e-03 -2.6566630767695751e+00 -7.3429475193282060e+03 
+2.0000000000000001e-01 +2.4348695194774737e-03 -2.6570950293673112e+00 -7.3415096359441504e+03 
+3.0000000000000004e-01 +2.4348997650078053e-03 -2.6577503918523360e+00 -7.3393270828059904e+03 
+4.0000000000000002e-01 +2.4349376764889390e-03 -2.6585763436262040e+00 -7.3365748846839069e+03 
+5.0000000000000000e-01 +2.4349806968469367e-03 -2.6595200640885803e+00 -7.3334280663528771e+03 
+6.0000000000000009e-01 +2.4350262690079356e-03 -2.6605287326401075e+00 -7.3300616525853529e+03 
+7.0000000000000007e-01 +2.4350718358981346e-03 -2.6615495286821402e+00 -7.3266506681520941e+03 
+8.0000000000000004e-01 +2.4351148404435728e-03 -2.6625296316141140e+00 -7.3233701378286178e+03 
+9.0000000000000002e-01 +2.4351527255704218e-03 -2.6634162208371066e+00 -7.3203950863862583e+03 
+1.0000000000000000e+00 +2.4351829342047892e-03 -2.6641564757512972e+00 -7.3179005385988039e+03 
+1.1000000000000001e+00 +2.4352035880889078e-03 -2.6647106076800653e+00 -7.3160185518536773e+03 
+1.2000000000000002e+00 +2.4352155242291082e-03 -2.6650909556337941e+00 -7.3147093140086745e+03 
+1.3000000000000000e+00 +2.4352202584479550e-03 -2.6653228905472708e+00 -7.3138900455324538e+03 
+1.4000000000000001e+00 +2.4352193065678199e-03 -2.6654317833528856e+00 -7.3134779668996562e+03 
+1.5000000000000000e+00 +2.4352141844111727e-03 -2.6654430049842688e+00 -7.3133902985818222e+03 
+1.6000000000000001e+00 +2.4352064078005100e-03 -2.6653819263754039e+00 -7.3135442610495575e+03 
+1.7000000000000002e+00 +2.4351974925582972e-03 -2.6652739184598979e+00 -7.3138570747744016e+03 
+1.8000000000000000e+00 +2.4351889545070169e-03 -2.6651443521713953e+00 -7.3142459602280051e+03 
+1.9000000000000001e+00 +2.4351823094690590e-03 -2.6650185984426762e+00 -7.3146281378838912e+03 
+2.0000000000000000e+00 +2.4351790732669255e-03 -2.6649220282076809e+00 -7.3149208282128811e+03 
+2.1000000000000001e+00 +2.4351804629200919e-03 -2.6648741587607678e+00 -7.3150609207951629e+03 
+2.2000000000000002e+00 +2.4351865002359726e-03 -2.6648710928381929e+00 -7.3150639816480771e+03 
+2.3000000000000003e+00 +2.4351969082189620e-03 -2.6649030795366513e+00 -7.3149652458982937e+03 
+2.4000000000000004e+00 +2.4352114098734842e-03 -2.6649603679530687e+00 -7.3147999486720910e+03 
+2.5000000000000000e+00 +2.4352297282039226e-03 -2.6650332071840368e+00 -7.3146033250963910e+03 
+2.6000000000000001e+00 +2.4352515862147480e-03 -2.6651118463271630e+00 -7.3144106102955966e+03 
+2.7000000000000002e+00 +2.4352767069102926e-03 -2.6651865344782690e+00 -7.3142570393987226e+03 
+2.8000000000000003e+00 +2.4353048132950651e-03 -2.6652475207354986e+00 -7.3141778475287638e+03 
+2.9000000000000004e+00 +2.4353356283733870e-03 -2.6652850541946131e+00 -7.3142082698148070e+03 
+3.0000000000000000e+00 +2.4353688751497129e-03 -2.6652893839528673e+00 -7.3143835413823363e+03 
+3.1000000000000001e+00 +2.4354043163193105e-03 -2.6652542379495130e+00 -7.3147266519791337e+03 
+3.2000000000000002e+00 +2.4354418733410514e-03 -2.6651872594944788e+00 -7.3152116098373926e+03 
+3.3000000000000003e+00 +2.4354815073646691e-03 -2.6650995707401335e+00 -7.3158001778105972e+03 
+3.4000000000000004e+00 +2.4355231795397817e-03 -2.6650022938372899e+00 -7.3164541187563764e+03 
+3.5000000000000000e+00 +2.4355668510162255e-03 -2.6649065509396310e+00 -7.3171351955248983e+03 
+3.6000000000000001e+00 +2.4356124829436276e-03 -2.6648234641980957e+00 -7.3178051709733963e+03 
+3.7000000000000002e+00 +2.4356600364717311e-03 -2.6647641557650474e+00 -7.3184258079556066e+03 
+3.8000000000000003e+00 +2.4357094727503071e-03 -2.6647397477934520e+00 -7.3189588693233545e+03 
+3.9000000000000004e+00 +2.4357607529289626e-03 -2.6647613624338229e+00 -7.3193661179352075e+03 
+4.0000000000000000e+00 +2.4358138381574976e-03 -2.6648401218394664e+00 -7.3196093166421988e+03 
+4.1000000000000005e+00 +2.4358686483285756e-03 -2.6649834742868377e+00 -7.3196620951355962e+03 
+4.2000000000000002e+00 +2.4359249383068696e-03 -2.6651841725528511e+00 -7.3195455504467418e+03 
+4.2999999999999998e+00 +2.4359824217000331e-03 -2.6654312955393529e+00 -7.3192926464423090e+03 
+4.4000000000000004e+00 +2.4360408121157561e-03 -2.6657139221485147e+00 -7.3189363469883228e+03 
+4.5000000000000000e+00 +2.4360998231616983e-03 -2.6660211312821982e+00 -7.3185096159514933e+03 
+4.6000000000000005e+00 +2.4361591684455152e-03 -2.6663420018422439e+00 -7.3180454171985666e+03 
+4.7000000000000002e+00 +2.4362185615747932e-03 -2.6666656127295907e+00 -7.3175767145985974e+03 
+4.8000000000000007e+00 +2.4362777161572651e-03 -2.6669810428469050e+00 -7.3171364720164192e+03 
+4.9000000000000004e+00 +2.4363363458005916e-03 -2.6672773710961377e+00 -7.3167576533184201e+03 
+5.0000000000000000e+00 +2.4363941641124156e-03 -2.6675436763789397e+00 -7.3164732223718484e+03 
+5.1000000000000005e+00 +2.4364509926032697e-03 -2.6677721867270638e+00 -7.3163063907518945e+03 
+5.2000000000000002e+00 +2.4365070843949616e-03 -2.6679677266894188e+00 -7.3162413608732841e+03 
+5.3000000000000007e+00 +2.4365628005123671e-03 -2.6681382699473244e+00 -7.3162525828527323e+03 
+5.4000000000000004e+00 +2.4366185019802197e-03 -2.6682917901802341e+00 -7.3163145068117838e+03 
+5.5000000000000000e+00 +2.4366745498232570e-03 -2.6684362610676735e+00 -7.3164015828717693e+03 
+5.6000000000000005e+00 +2.4367313050662450e-03 -2.6685796562896060e+00 -7.3164882611528274e+03 
+5.7000000000000002e+00 +2.4367891287339805e-03 -2.6687299495262846e+00 -7.3165489917744508e+03 
+5.8000000000000007e+00 +2.4368483818512131e-03 -2.6688951144574498e+00 -7.3165582248573555e+03 
+5.9000000000000004e+00 +2.4369094254426192e-03 -2.6690831247618281e+00 -7.3164904105249625e+03 
+6.0000000000000000e+00 +2.4369726205330962e-03 -2.6693019541210421e+00 -7.3163199988931565e+03 
+6.1000000000000005e+00 +2.4370382167590143e-03 -2.6695571379525140e+00 -7.3160292855349444e+03 
+6.2000000000000002e+00 +2.4371060182035620e-03 -2.6698444586293051e+00 -7.3156319478192263e+03 
+6.3000000000000007e+00 +2.4371757175615993e-03 -2.6701572602628176e+00 -7.3151495085654597e+03 
+6.4000000000000004e+00 +2.4372470075280247e-03 -2.6704888869648831e+00 -7.3146034905921297e+03 
+6.5000000000000000e+00 +2.4373195807976060e-03 -2.6708326828458726e+00 -7.3140154167211476e+03 
